"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","303","Update course","LMS servece","Tue Feb 24 21:54:09 UTC 2026","passed","Tue Feb 24 21:54:09 UTC 2026","Update entity","Courses","",""
"","20","Delete file","LMS servece","Tue Feb 24 21:54:17 UTC 2026","passed","Tue Feb 24 21:54:17 UTC 2026","Delete entity","Files","",""
"","258","Get file with incorrect file id","LMS servece","Tue Feb 24 21:54:16 UTC 2026","passed","Tue Feb 24 21:54:16 UTC 2026","Validate entity","Files","",""
"","30","Create course","LMS servece","Tue Feb 24 21:54:10 UTC 2026","passed","Tue Feb 24 21:54:10 UTC 2026","Create entity","Courses","",""
"","534","Create user","LMS servece","Tue Feb 24 21:54:17 UTC 2026","passed","Tue Feb 24 21:54:17 UTC 2026","Create entity","Users","",""
"","266","Create file","LMS servece","Tue Feb 24 21:54:14 UTC 2026","passed","Tue Feb 24 21:54:14 UTC 2026","Create entity","Files","",""
"","19","Get exercise","LMS servece","Tue Feb 24 21:54:12 UTC 2026","passed","Tue Feb 24 21:54:12 UTC 2026","Get entity","Exercises","",""
"","290","Delete exercise","LMS servece","Tue Feb 24 21:54:13 UTC 2026","passed","Tue Feb 24 21:54:13 UTC 2026","Delete entity","Exercises","",""
"","261","Create file with empty filename","LMS servece","Tue Feb 24 21:54:15 UTC 2026","passed","Tue Feb 24 21:54:15 UTC 2026","Validate entity","Files","",""
"","264","Create file with empty directory","LMS servece","Tue Feb 24 21:54:15 UTC 2026","passed","Tue Feb 24 21:54:16 UTC 2026","Validate entity","Files","",""
"","16","Get exercises","LMS servece","Tue Feb 24 21:54:13 UTC 2026","passed","Tue Feb 24 21:54:13 UTC 2026","Get entities","Exercises","",""
"","288","Update exercise","LMS servece","Tue Feb 24 21:54:11 UTC 2026","passed","Tue Feb 24 21:54:12 UTC 2026","Update entity","Exercises","",""
"","263","Get user me","LMS servece","Tue Feb 24 21:54:17 UTC 2026","passed","Tue Feb 24 21:54:17 UTC 2026","Get entity","Users","",""
"","25","Get courses","LMS servece","Tue Feb 24 21:54:10 UTC 2026","passed","Tue Feb 24 21:54:10 UTC 2026","Get entity","Courses","",""
"","549","Login with correct email and password","LMS servece","Tue Feb 24 21:54:08 UTC 2026","passed","Tue Feb 24 21:54:09 UTC 2026","Login","Authentication","",""
"","20","Create exercise","LMS servece","Tue Feb 24 21:54:11 UTC 2026","passed","Tue Feb 24 21:54:11 UTC 2026","Create entity","Exercises","",""
"","14","Get file","LMS servece","Tue Feb 24 21:54:14 UTC 2026","passed","Tue Feb 24 21:54:15 UTC 2026","Get entity","Files","",""
"","559","Create user","LMS servece","Tue Feb 24 21:54:17 UTC 2026","passed","Tue Feb 24 21:54:18 UTC 2026","Create entity","Users","",""
"","558","Create user","LMS servece","Tue Feb 24 21:54:17 UTC 2026","passed","Tue Feb 24 21:54:18 UTC 2026","Create entity","Users","",""
